team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,rush_pct_off,pass_pct_off,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,total_tds,td_pct,total_yards,yptouch,interception_def,fumble_def,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,rush_pct_def,pass_pct_def
DAL,2012,REG,6257,639.0,434.0,205.0,4992.0,5782.0,4992.0,1976.0,356,1265.0,237.0,76.0,10.0,29.0,19.0,21.0,1053,342,694,367.0,18.0,0.32,0.66,5.94,9.049,1.0,1.0,0.679,0.03,0.045,7.81,0.045,7.81,9.05,11.5,0.028,3.55,68.0,0.05,11249.0,7.87,7.0,16.0,625.0,197.0,51.0,34.0,73.0,3,987,434,544,39.0625,12.3125,3.1875,2.125,4.5625,0.1875,0.44,0.55
DEN,2012,POST,415,41.0,28.0,13.0,290.0,301.0,290.0,111.0,41,125.0,15.0,9.0,1.0,3.0,2.0,2.0,87,40,46,30.0,6.0,0.46,0.53,4.77,7.341,1.0,1.0,0.683,0.049,0.073,7.07,0.073,7.07,7.34,10.36,0.024,3.05,7.0,0.06,705.0,6.41,0.0,1.0,52.0,7.0,0.0,1.0,2.0,0,74,39,35,42.1764705882353,9.0,1.8235294117647056,3.117647058823529,5.588235294117647,0.3529411764705882,0.53,0.47
DEN,2012,REG,6503,577.0,402.0,175.0,4671.0,4885.0,4664.0,1878.0,482,1832.0,232.0,112.0,13.0,37.0,11.0,20.0,1092,458,607,437.0,12.0,0.42,0.56,5.96,8.466,16.229,14.073,0.697,0.019,0.064,8.1,0.064,8.08,8.47,11.6,0.027,3.8,87.0,0.06,11167.0,7.64,16.0,25.0,665.0,146.0,31.0,52.0,93.0,6,1018,394,611,42.1764705882353,9.0,1.8235294117647056,3.117647058823529,5.588235294117647,0.3529411764705882,0.39,0.6
DET,2012,REG,6752,723.0,445.0,278.0,5139.0,6458.0,5139.0,2095.0,391,1613.0,272.0,84.0,19.0,22.0,17.0,18.0,1161,387,765,388.0,36.0,0.33,0.66,5.82,8.932,1.0,1.0,0.615,0.024,0.03,7.11,0.03,7.11,8.93,11.55,0.049,4.13,63.0,0.04,11891.0,7.63,11.0,25.0,684.0,141.0,44.0,34.0,96.0,0,1001,408,577,42.75,8.8125,2.75,2.125,6.0,0.0,0.41,0.58
GB,2012,POST,711,71.0,49.0,22.0,531.0,589.0,531.0,225.0,47,180.0,27.0,7.0,3.0,3.0,1.0,3.0,123,47,76,49.0,0.0,0.38,0.62,5.78,8.296,1.0,1.0,0.69,0.014,0.042,7.48,0.042,7.48,8.3,10.84,0.064,3.83,9.0,0.05,1242.0,7.44,2.0,3.0,78.0,28.0,22.0,4.0,8.0,1,137,70,64,39.61111111111112,12.444444444444445,6.111111111111111,2.833333333333333,5.055555555555555,0.1666666666666666,0.51,0.47
GB,2012,REG,6044,550.0,374.0,176.0,4342.0,4516.0,4342.0,2086.0,433,1702.0,213.0,85.0,10.0,40.0,8.0,17.0,1045,417,609,415.0,0.0,0.4,0.58,5.78,8.211,7.667,7.746,0.68,0.015,0.073,7.89,0.073,7.89,8.21,11.61,0.023,3.93,90.0,0.07,10386.0,7.65,18.0,17.0,635.0,196.0,88.0,47.0,83.0,2,1036,414,615,39.61111111111112,12.444444444444445,6.111111111111111,2.833333333333333,5.055555555555555,0.1666666666666666,0.4,0.59
HOU,2012,POST,854,87.0,63.0,24.0,605.0,527.0,605.0,254.0,62,249.0,32.0,13.0,2.0,2.0,2.0,3.0,153,60,89,48.0,6.0,0.39,0.58,5.58,6.057,1.0,1.0,0.724,0.023,0.023,6.95,0.023,6.95,6.06,9.6,0.032,4.02,6.0,0.03,1459.0,6.88,1.0,1.0,65.0,24.0,2.0,3.0,9.0,0,113,38,73,40.66666666666666,8.666666666666666,2.388888888888889,2.611111111111111,6.388888888888889,0.1666666666666666,0.34,0.65
HOU,2012,REG,6169,541.0,354.0,187.0,4046.0,4415.0,4046.0,1787.0,508,2123.0,205.0,114.0,20.0,22.0,13.0,11.0,1090,491,582,390.0,0.0,0.45,0.53,5.66,8.161,8.378,6.218,0.654,0.024,0.041,7.48,0.041,7.48,8.16,11.43,0.039,4.18,64.0,0.05,10215.0,7.28,15.0,23.0,667.0,132.0,41.0,44.0,106.0,3,1015,382,623,40.66666666666666,8.666666666666666,2.388888888888889,2.611111111111111,6.388888888888889,0.1666666666666666,0.38,0.61
IND,2012,POST,440,53.0,28.0,25.0,288.0,477.0,288.0,110.0,30,152.0,16.0,6.0,0.0,0.0,1.0,1.0,87,30,57,9.0,0.0,0.34,0.66,5.06,9.0,1.0,1.0,0.528,0.019,0.0,5.43,0.0,5.43,9.0,10.29,0.0,5.07,0.0,0.0,728.0,6.56,0.0,2.0,29.0,12.0,12.0,1.0,2.0,0,56,29,24,40.76470588235294,8.705882352941176,0.9411764705882352,1.9411764705882355,4.117647058823529,0.2352941176470588,0.52,0.43
IND,2012,REG,6045,610.0,339.0,271.0,4374.0,6383.0,4374.0,1656.0,441,1671.0,208.0,110.0,14.0,23.0,18.0,21.0,1111,422,662,342.0,18.0,0.38,0.6,5.44,10.464,13.382,11.509,0.556,0.03,0.038,7.17,0.038,7.17,10.46,12.9,0.032,3.79,60.0,0.04,10419.0,7.5,12.0,11.0,664.0,136.0,4.0,32.0,68.0,4,997,420,567,40.76470588235294,8.705882352941176,0.9411764705882352,1.9411764705882355,4.117647058823529,0.2352941176470588,0.42,0.57
