team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,rush_pct_off,pass_pct_off,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,total_tds,td_pct,total_yards,yptouch,interception_def,fumble_def,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,rush_pct_def,pass_pct_def
SEA,2014,REG,6254,447.0,287.0,160.0,3492.0,3715.0,3492.0,1881.0,525,2762.0,160.0,144.0,22.0,20.0,7.0,25.0,1022,506,496,386.0,0.0,0.5,0.49,6.12,8.311,5.423,7.328,0.642,0.016,0.045,7.81,0.045,7.81,8.31,12.17,0.042,5.26,62.0,0.05,9746.0,7.74,13.0,27.0,618.0,157.0,39.0,37.0,83.0,2,926,373,543,39.21052631578947,10.36842105263158,2.3684210526315788,2.1578947368421053,5.473684210526316,0.1578947368421052,0.4,0.59
SF,2014,REG,5583,477.0,292.0,185.0,3407.0,4737.0,3407.0,1393.0,470,2176.0,165.0,104.0,12.0,20.0,10.0,19.0,1009,455,539,302.0,12.0,0.45,0.53,5.53,9.931,4.858,6.115,0.612,0.021,0.042,7.14,0.042,7.14,9.93,11.67,0.026,4.63,52.0,0.04,8990.0,7.26,23.0,16.0,669.0,123.0,63.0,36.0,79.0,3,989,390,584,41.8125,7.6875,3.9375,2.25,4.9375,0.1875,0.39,0.59
TB,2014,REG,4998,511.0,301.0,210.0,3623.0,5488.0,3623.0,1154.0,353,1375.0,162.0,72.0,8.0,21.0,20.0,29.0,936,352,578,267.0,12.0,0.38,0.62,5.34,10.74,0.966,0.931,0.589,0.039,0.041,7.09,0.041,7.09,10.74,12.04,0.023,3.9,50.0,0.04,8621.0,7.4,14.0,24.0,685.0,211.0,128.0,36.0,71.0,3,1070,453,597,42.8125,13.1875,8.0,2.25,4.4375,0.1875,0.42,0.56
TEN,2014,REG,5185,497.0,299.0,198.0,3738.0,4701.0,3695.0,1628.0,357,1447.0,159.0,75.0,6.0,20.0,16.0,21.0,920,345,560,242.0,12.0,0.38,0.61,5.64,9.459,0.983,0.948,0.602,0.032,0.04,7.52,0.04,7.43,9.46,12.36,0.017,4.05,46.0,0.04,8880.0,7.7,12.0,9.0,736.0,148.0,9.0,39.0,65.0,2,1100,493,584,46.0,9.25,0.5625,2.4375,4.0625,0.125,0.45,0.53
WAS,2014,REG,6152,529.0,364.0,165.0,4461.0,4223.0,4461.0,2543.0,402,1691.0,186.0,88.0,17.0,18.0,18.0,31.0,1007,396,605,317.0,24.0,0.39,0.6,6.11,7.983,17.028,18.893,0.688,0.034,0.034,8.43,0.034,8.43,7.98,12.26,0.042,4.21,53.0,0.04,10613.0,8.2,7.0,26.0,607.0,190.0,95.0,36.0,74.0,0,978,413,556,37.9375,11.875,5.9375,2.25,4.625,0.0,0.42,0.57
ARI,2015,POST,684,76.0,48.0,28.0,584.0,871.0,584.0,275.0,36,100.0,30.0,7.0,1.0,4.0,6.0,3.0,124,36,88,42.0,6.0,0.29,0.71,5.52,11.461,0.179,0.129,0.632,0.079,0.053,7.68,0.053,7.68,11.46,12.17,0.028,2.78,9.0,0.06,1268.0,7.92,2.0,1.0,75.0,25.0,2.0,2.0,4.0,0,134,55,75,43.44444444444444,6.555555555555555,2.111111111111111,2.111111111111111,5.944444444444445,0.3333333333333333,0.41,0.56
ARI,2015,REG,6692,549.0,353.0,196.0,4775.0,6084.0,4775.0,1782.0,452,1917.0,237.0,92.0,17.0,35.0,13.0,19.0,1041,422,583,450.0,6.0,0.41,0.56,6.43,11.082,1.251,0.935,0.643,0.024,0.064,8.7,0.064,8.7,11.08,13.53,0.038,4.24,87.0,0.06,11467.0,8.47,19.0,34.0,707.0,93.0,36.0,36.0,103.0,6,987,366,612,43.44444444444444,6.555555555555555,2.111111111111111,2.111111111111111,5.944444444444445,0.3333333333333333,0.37,0.62
ATL,2015,REG,6208,604.0,410.0,194.0,4602.0,4788.0,4602.0,1856.0,421,1606.0,230.0,95.0,15.0,21.0,17.0,26.0,1076,407,655,328.0,6.0,0.38,0.61,5.77,7.927,5.204,8.162,0.679,0.028,0.035,7.62,0.035,7.62,7.93,11.22,0.036,3.81,57.0,0.04,10810.0,7.53,15.0,15.0,647.0,147.0,54.0,19.0,74.0,3,998,401,581,40.4375,9.1875,3.375,1.1875,4.625,0.1875,0.4,0.58
BAL,2015,REG,5927,655.0,426.0,229.0,4449.0,5083.0,4439.0,2128.0,384,1478.0,211.0,89.0,8.0,21.0,21.0,16.0,1087,382,697,309.0,30.0,0.35,0.64,5.45,7.76,3.299,5.198,0.65,0.032,0.032,6.79,0.032,6.78,7.76,10.42,0.021,3.85,50.0,0.03,10366.0,7.08,6.0,14.0,635.0,159.0,22.0,37.0,90.0,2,1005,407,585,39.6875,9.9375,1.375,2.3125,5.625,0.125,0.4,0.58
BUF,2015,REG,6032,456.0,295.0,161.0,3600.0,4737.0,3600.0,1290.0,512,2432.0,155.0,122.0,19.0,23.0,9.0,26.0,1021,495,508,361.0,12.0,0.48,0.5,5.91,10.388,1.193,0.923,0.647,0.02,0.05,7.89,0.05,7.89,10.39,12.2,0.037,4.75,65.0,0.05,9632.0,7.63,17.0,16.0,598.0,173.0,100.0,21.0,75.0,3,1022,376,626,37.375,10.8125,6.25,1.3125,4.6875,0.1875,0.37,0.61
CAR,2015,POST,1175,89.0,53.0,36.0,761.0,936.0,753.0,304.0,105,414.0,33.0,23.0,6.0,3.0,2.0,7.0,206,98,101,79.0,6.0,0.48,0.49,5.7,10.517,0.205,0.186,0.596,0.022,0.034,8.55,0.034,8.46,10.52,14.21,0.057,3.94,12.0,0.05,1928.0,7.81,7.0,5.0,102.0,39.0,6.0,13.0,25.0,2,183,57,124,39.0,12.052631578947368,2.473684210526316,3.0,7.0,0.3157894736842105,0.31,0.68
CAR,2015,REG,6155,491.0,300.0,191.0,3873.0,5180.0,3873.0,1494.0,526,2282.0,197.0,136.0,21.0,35.0,10.0,14.0,1060,509,532,483.0,6.0,0.48,0.5,5.81,10.55,1.135,1.027,0.611,0.02,0.071,7.89,0.071,7.89,10.55,12.91,0.04,4.34,91.0,0.07,10028.0,7.61,24.0,26.0,639.0,190.0,41.0,44.0,108.0,4,1062,363,691,39.0,12.052631578947368,2.473684210526316,3.0,7.0,0.3157894736842105,0.34,0.65
CHI,2015,REG,5697,511.0,334.0,177.0,3843.0,4327.0,3843.0,1841.0,470,1854.0,177.0,108.0,14.0,21.0,12.0,24.0,1030,463,559,345.0,24.0,0.45,0.54,5.53,8.468,0.896,1.09,0.654,0.023,0.041,7.52,0.041,7.52,8.47,11.51,0.03,3.94,56.0,0.04,9540.0,7.25,8.0,14.0,679.0,109.0,37.0,35.0,91.0,0,980,421,546,42.4375,6.8125,2.3125,2.1875,5.6875,0.0,0.43,0.56
CIN,2015,POST,303,40.0,23.0,17.0,212.0,316.0,212.0,68.0,25,91.0,11.0,5.0,1.0,1.0,1.0,5.0,69,24,44,16.0,0.0,0.35,0.64,4.39,7.9,0.958,1.379,0.575,0.025,0.025,5.3,0.025,5.3,7.9,9.22,0.04,3.64,3.0,0.03,515.0,5.85,1.0,2.0,48.0,8.0,0.0,4.0,8.0,0,70,29,41,44.1764705882353,10.294117647058824,1.588235294117647,2.7058823529411766,6.705882352941177,0.0588235294117647,0.41,0.59
CIN,2015,REG,5909,496.0,334.0,162.0,4104.0,4432.0,4104.0,1803.0,468,1805.0,191.0,99.0,18.0,31.0,9.0,17.0,1005,451,537,416.0,18.0,0.45,0.53,5.88,8.935,13.43,17.103,0.673,0.018,0.062,8.27,0.062,8.27,8.94,12.29,0.038,3.86,80.0,0.06,10013.0,7.71,21.0,11.0,703.0,167.0,27.0,42.0,106.0,1,1034,339,686,44.1764705882353,10.294117647058824,1.588235294117647,2.7058823529411766,6.705882352941177,0.0588235294117647,0.33,0.66
CLE,2015,REG,5685,597.0,371.0,226.0,4156.0,4871.0,4156.0,1953.0,380,1529.0,192.0,81.0,7.0,20.0,12.0,27.0,1046,374,665,274.0,12.0,0.36,0.64,5.43,8.159,1.144,1.089,0.621,0.02,0.034,6.96,0.034,6.96,8.16,11.2,0.018,4.02,47.0,0.03,9841.0,7.3,11.0,19.0,652.0,166.0,14.0,29.0,68.0,2,1002,445,541,40.75,10.375,0.875,1.8125,4.25,0.125,0.44,0.54
DAL,2015,REG,5567,506.0,334.0,172.0,3677.0,4053.0,3677.0,1769.0,408,1890.0,175.0,94.0,8.0,16.0,22.0,19.0,970,400,560,266.0,30.0,0.41,0.58,5.74,8.01,0.701,0.792,0.66,0.043,0.032,7.27,0.032,7.27,8.01,11.01,0.02,4.63,40.0,0.03,9244.0,7.41,8.0,11.0,604.0,206.0,84.0,31.0,75.0,1,999,441,538,37.75,12.875,5.25,1.9375,4.6875,0.0625,0.44,0.54
DEN,2015,POST,837,91.0,51.0,40.0,539.0,863.0,539.0,172.0,91,298.0,26.0,12.0,2.0,2.0,1.0,5.0,194,89,103,61.0,0.0,0.46,0.53,4.31,9.484,2.867,2.22,0.56,0.011,0.022,5.92,0.022,5.92,9.48,10.57,0.022,3.27,6.0,0.03,1376.0,5.91,3.0,7.0,117.0,32.0,13.0,14.0,31.0,1,212,62,148,42.10526315789474,8.052631578947368,2.1052631578947367,3.473684210526316,7.894736842105263,0.3157894736842105,0.29,0.7
DEN,2015,REG,5934,583.0,368.0,215.0,4216.0,5534.0,4216.0,1852.0,412,1718.0,201.0,85.0,13.0,19.0,23.0,18.0,1057,403,644,320.0,18.0,0.38,0.61,5.61,9.492,18.385,14.22,0.631,0.039,0.033,7.23,0.033,7.23,9.49,11.46,0.032,4.17,51.0,0.04,10150.0,7.45,14.0,24.0,683.0,121.0,27.0,52.0,119.0,5,1037,396,626,42.10526315789474,8.052631578947368,2.1052631578947367,3.473684210526316,7.894736842105263,0.3157894736842105,0.38,0.6
DET,2015,REG,5798,618.0,420.0,198.0,4463.0,4132.0,4463.0,2495.0,356,1335.0,236.0,71.0,7.0,33.0,14.0,16.0,1033,344,677,343.0,6.0,0.33,0.66,5.61,6.686,0.64,0.855,0.68,0.023,0.053,7.22,0.053,7.22,6.69,10.63,0.02,3.75,73.0,0.05,10261.0,7.36,9.0,25.0,708.0,123.0,36.0,43.0,101.0,2,1002,412,572,44.25,7.6875,2.25,2.6875,6.3125,0.125,0.41,0.57
GB,2015,POST,747,79.0,45.0,34.0,471.0,903.0,471.0,156.0,54,276.0,23.0,16.0,2.0,4.0,1.0,1.0,137,53,83,55.0,0.0,0.39,0.61,5.45,11.43,1.533,1.113,0.57,0.013,0.051,5.96,0.051,5.96,11.43,10.47,0.037,5.11,10.0,0.06,1218.0,6.84,2.0,4.0,81.0,23.0,6.0,9.0,16.0,0,133,36,96,42.888888888888886,8.5,2.333333333333333,2.888888888888889,5.833333333333333,0.1111111111111111,0.27,0.72
GB,2015,REG,5675,565.0,348.0,217.0,3825.0,4633.0,3853.0,1980.0,437,1850.0,173.0,100.0,9.0,31.0,8.0,24.0,1061,423,623,359.0,18.0,0.4,0.59,5.35,8.2,7.866,7.958,0.616,0.014,0.055,6.77,0.055,6.82,8.2,11.07,0.021,4.23,71.0,0.05,9528.0,7.06,16.0,19.0,691.0,130.0,36.0,43.0,89.0,2,1016,417,593,42.888888888888886,8.5,2.333333333333333,2.888888888888889,5.833333333333333,0.1111111111111111,0.41,0.58
HOU,2015,POST,250,30.0,15.0,15.0,136.0,336.0,136.0,46.0,25,114.0,10.0,3.0,0.0,0.0,4.0,2.0,62,24,37,0.0,0.0,0.39,0.6,4.03,11.2,0.638,0.345,0.5,0.133,0.0,4.53,0.0,4.53,11.2,9.07,0.0,4.56,0.0,0.0,386.0,5.51,1.0,0.0,34.0,20.0,10.0,3.0,4.0,0,62,35,25,38.05882352941177,11.882352941176473,4.470588235294118,2.823529411764706,6.235294117647059,0.1764705882352941,0.56,0.4
HOU,2015,REG,5810,607.0,358.0,249.0,4079.0,5939.0,4079.0,1356.0,473,1731.0,210.0,90.0,7.0,29.0,12.0,24.0,1130,452,656,324.0,18.0,0.4,0.58,5.14,9.784,11.269,6.977,0.59,0.02,0.048,6.72,0.048,6.72,9.78,11.39,0.015,3.66,65.0,0.05,9889.0,6.88,14.0,18.0,613.0,182.0,66.0,45.0,102.0,3,988,374,599,38.05882352941177,11.882352941176473,4.470588235294118,2.823529411764706,6.235294117647059,0.1764705882352941,0.38,0.61
IND,2015,REG,5366,600.0,355.0,245.0,3928.0,5285.0,3928.0,1647.0,396,1438.0,195.0,77.0,9.0,26.0,19.0,18.0,1054,377,656,320.0,6.0,0.36,0.62,5.09,8.808,11.08,11.321,0.592,0.032,0.043,6.55,0.043,6.55,8.81,11.06,0.023,3.63,61.0,0.05,9294.0,6.88,17.0,21.0,644.0,175.0,29.0,35.0,85.0,5,1074,439,619,40.25,10.9375,1.8125,2.1875,5.3125,0.3125,0.41,0.58
JAX,2015,REG,5901,589.0,355.0,234.0,4428.0,5586.0,4428.0,1841.0,354,1473.0,215.0,69.0,5.0,35.0,18.0,22.0,1017,348,660,359.0,42.0,0.34,0.65,5.8,9.484,1.118,1.035,0.603,0.031,0.059,7.52,0.059,7.52,9.48,12.47,0.014,4.16,75.0,0.06,10329.0,7.96,9.0,19.0,721.0,133.0,22.0,36.0,71.0,3,1105,443,636,45.0625,8.3125,1.375,2.25,4.4375,0.1875,0.4,0.58
KC,2015,POST,712,71.0,46.0,25.0,436.0,571.0,436.0,178.0,69,276.0,22.0,18.0,3.0,2.0,1.0,1.0,145,67,75,50.0,0.0,0.46,0.52,4.91,8.042,0.146,0.156,0.648,0.014,0.028,6.14,0.028,6.14,8.04,9.48,0.043,4.0,7.0,0.04,1148.0,6.17,4.0,2.0,64.0,22.0,7.0,3.0,3.0,0,118,34,79,43.94444444444444,6.833333333333333,2.2222222222222223,2.7777777777777777,4.888888888888889,0.3333333333333333,0.29,0.67
KC,2015,REG,5537,466.0,310.0,156.0,3493.0,3167.0,3493.0,1936.0,436,2044.0,155.0,116.0,19.0,20.0,7.0,14.0,959,422,523,369.0,12.0,0.44,0.55,5.77,6.796,0.808,1.024,0.665,0.015,0.043,7.5,0.043,7.5,6.8,11.27,0.044,4.69,59.0,0.05,9030.0,7.45,22.0,20.0,727.0,101.0,33.0,47.0,85.0,6,1043,379,656,43.94444444444444,6.833333333333333,2.2222222222222223,2.7777777777777777,4.888888888888889,0.3333333333333333,0.36,0.63
LA,2015,REG,4887,462.0,273.0,189.0,2931.0,3806.0,2931.0,1565.0,430,1956.0,126.0,92.0,17.0,11.0,11.0,20.0,922,416,490,263.0,18.0,0.45,0.53,5.3,8.238,0.83,0.851,0.591,0.024,0.024,6.34,0.024,6.34,8.24,10.74,0.04,4.55,39.0,0.03,7818.0,6.71,13.0,30.0,736.0,178.0,23.0,41.0,111.0,3,1094,437,636,46.0,11.125,1.4375,2.5625,6.9375,0.1875,0.4,0.58
LAC,2015,REG,6213,654.0,442.0,212.0,4855.0,4838.0,4855.0,2622.0,393,1358.0,230.0,79.0,4.0,30.0,13.0,19.0,1103,387,709,319.0,30.0,0.35,0.64,5.63,7.398,1.221,1.275,0.676,0.02,0.046,7.42,0.046,7.42,7.4,10.98,0.01,3.46,64.0,0.04,11068.0,7.43,11.0,15.0,605.0,161.0,114.0,32.0,72.0,1,962,406,542,37.8125,10.0625,7.125,2.0,4.5,0.0625,0.42,0.56
LV,2015,REG,5586,591.0,373.0,218.0,4129.0,4743.0,4141.0,1861.0,370,1457.0,193.0,74.0,7.0,34.0,14.0,28.0,1011,358,640,352.0,18.0,0.35,0.63,5.53,8.025,0.895,0.964,0.631,0.024,0.058,6.99,0.058,7.01,8.03,11.1,0.019,3.94,75.0,0.06,9727.0,7.29,14.0,16.0,759.0,122.0,42.0,38.0,74.0,1,1091,398,684,47.4375,7.625,2.625,2.375,4.625,0.0625,0.36,0.63
MIA,2015,REG,5727,576.0,365.0,211.0,4231.0,5154.0,4231.0,1876.0,345,1496.0,194.0,72.0,11.0,24.0,12.0,21.0,980,335,633,288.0,12.0,0.34,0.65,5.84,8.948,1.187,1.173,0.634,0.021,0.042,7.35,0.042,7.35,8.95,11.59,0.032,4.34,59.0,0.05,9958.0,7.74,13.0,14.0,722.0,153.0,39.0,31.0,86.0,3,1076,485,573,45.125,9.5625,2.4375,1.9375,5.375,0.1875,0.45,0.53
MIN,2015,POST,204,24.0,17.0,7.0,146.0,134.0,146.0,87.0,29,58.0,6.0,4.0,0.0,0.0,0.0,1.0,56,27,27,9.0,0.0,0.48,0.48,3.64,5.583,0.346,0.828,0.708,0.0,0.0,6.08,0.0,6.08,5.58,8.59,0.0,2.0,0.0,0.0,350.0,5.0,1.0,2.0,35.0,10.0,10.0,2.0,7.0,0,56,27,28,42.8235294117647,9.176470588235292,6.529411764705882,2.647058823529412,6.529411764705882,0.1764705882352941,0.48,0.5
MIN,2015,REG,5457,445.0,294.0,151.0,3246.0,3273.0,3246.0,1808.0,475,2211.0,153.0,113.0,20.0,14.0,9.0,24.0,974,462,499,341.0,0.0,0.47,0.51,5.6,7.355,8.457,15.345,0.661,0.02,0.031,7.29,0.031,7.29,7.36,11.04,0.042,4.65,48.0,0.04,8703.0,7.17,13.0,15.0,693.0,146.0,101.0,43.0,104.0,3,1018,401,604,42.8235294117647,9.176470588235292,6.529411764705882,2.647058823529412,6.529411764705882,0.1764705882352941,0.39,0.59
NE,2015,POST,694,96.0,55.0,41.0,612.0,736.0,612.0,253.0,31,82.0,30.0,6.0,2.0,3.0,2.0,1.0,134,26,103,45.0,0.0,0.19,0.77,5.18,7.667,0.987,1.043,0.573,0.021,0.031,6.38,0.031,6.38,7.67,11.13,0.065,2.65,8.0,0.04,1306.0,7.18,0.0,2.0,86.0,24.0,1.0,4.0,9.0,0,148,61,85,39.66666666666666,12.055555555555555,3.9444444444444446,2.9444444444444446,5.555555555555555,0.1111111111111111,0.41,0.57
NE,2015,REG,6216,622.0,404.0,218.0,4812.0,4935.0,4812.0,2444.0,383,1404.0,229.0,87.0,16.0,36.0,7.0,14.0,1050,364,665,465.0,12.0,0.35,0.63,5.92,7.934,6.615,6.761,0.65,0.011,0.058,7.74,0.058,7.74,7.93,11.91,0.042,3.67,88.0,0.06,11028.0,7.83,12.0,27.0,628.0,193.0,70.0,49.0,91.0,2,1045,391,647,39.66666666666666,12.055555555555555,3.9444444444444446,2.9444444444444446,5.555555555555555,0.1111111111111111,0.37,0.62
NO,2015,REG,6696,655.0,460.0,195.0,5205.0,5208.0,5205.0,2538.0,399,1491.0,247.0,98.0,16.0,32.0,12.0,18.0,1100,383,699,390.0,12.0,0.35,0.64,6.09,7.951,0.952,1.005,0.702,0.018,0.049,7.95,0.049,7.95,7.95,11.32,0.04,3.74,80.0,0.05,11901.0,7.86,9.0,28.0,658.0,167.0,33.0,31.0,62.0,1,1000,412,578,41.125,10.4375,2.0625,1.9375,3.875,0.0625,0.41,0.58
NYG,2015,REG,6109,609.0,392.0,217.0,4500.0,4709.0,4508.0,2121.0,405,1609.0,208.0,77.0,6.0,36.0,14.0,25.0,1055,396,649,391.0,18.0,0.38,0.62,5.79,7.732,0.918,1.162,0.644,0.023,0.059,7.39,0.059,7.4,7.73,11.5,0.015,3.97,78.0,0.06,10617.0,7.55,15.0,26.0,649.0,266.0,213.0,23.0,82.0,4,1107,430,660,40.5625,16.625,13.3125,1.4375,5.125,0.25,0.39,0.6
NYJ,2015,REG,6038,588.0,362.0,226.0,4170.0,5545.0,4170.0,1889.0,448,1868.0,210.0,99.0,14.0,33.0,16.0,19.0,1074,435,626,407.0,12.0,0.41,0.58,5.62,9.43,1.261,1.241,0.616,0.027,0.056,7.09,0.056,7.09,9.43,11.52,0.031,4.17,80.0,0.06,10208.0,7.3,18.0,20.0,615.0,188.0,52.0,39.0,109.0,0,1013,362,640,38.4375,11.75,3.25,2.4375,6.8125,0.0,0.36,0.63
PHI,2015,REG,6084,605.0,405.0,200.0,4341.0,4245.0,4337.0,2251.0,442,1743.0,193.0,110.0,16.0,23.0,18.0,27.0,1102,430,659,342.0,18.0,0.39,0.6,5.52,7.017,0.804,1.003,0.669,0.03,0.038,7.18,0.038,7.17,7.02,10.71,0.036,3.94,62.0,0.04,10421.0,7.18,15.0,21.0,748.0,151.0,39.0,37.0,80.0,4,1149,458,669,46.75,9.4375,2.4375,2.3125,5.0,0.25,0.4,0.58
PIT,2015,POST,831,72.0,44.0,28.0,579.0,530.0,579.0,343.0,48,252.0,20.0,10.0,1.0,1.0,1.0,3.0,129,48,80,34.0,0.0,0.37,0.62,6.44,7.361,0.107,0.129,0.611,0.014,0.014,8.04,0.014,8.04,7.36,13.16,0.021,5.25,3.0,0.02,1410.0,8.6,1.0,7.0,89.0,17.0,1.0,4.0,10.0,0,141,56,83,42.94444444444444,11.11111111111111,4.222222222222222,2.888888888888889,5.555555555555555,0.1111111111111111,0.4,0.59
PIT,2015,REG,6546,569.0,391.0,178.0,4822.0,5890.0,4832.0,1950.0,388,1724.0,207.0,91.0,16.0,26.0,21.0,11.0,1021,368,631,405.0,0.0,0.36,0.62,6.41,10.351,1.19,1.016,0.687,0.037,0.046,8.47,0.046,8.49,10.35,12.36,0.041,4.44,68.0,0.05,11378.0,8.44,17.0,31.0,684.0,183.0,75.0,48.0,90.0,2,1058,372,673,42.94444444444444,11.11111111111111,4.222222222222222,2.888888888888889,5.555555555555555,0.1111111111111111,0.35,0.64
SEA,2015,POST,679,71.0,44.0,27.0,508.0,743.0,508.0,181.0,40,171.0,27.0,7.0,0.0,4.0,3.0,3.0,121,39,79,35.0,6.0,0.32,0.65,5.61,10.465,1.085,1.164,0.62,0.042,0.056,7.15,0.056,7.15,10.46,11.55,0.0,4.28,8.0,0.05,1187.0,7.66,0.0,2.0,76.0,35.0,12.0,4.0,7.0,0,120,65,50,38.22222222222222,11.61111111111111,1.5555555555555556,2.2777777777777777,5.888888888888889,0.1666666666666666,0.54,0.42
SEA,2015,REG,6329,481.0,333.0,148.0,4061.0,4144.0,4063.0,1851.0,502,2268.0,190.0,128.0,12.0,34.0,8.0,20.0,1040,479,536,407.0,12.0,0.46,0.52,6.09,8.615,6.05,7.885,0.692,0.017,0.071,8.44,0.071,8.45,8.62,12.2,0.024,4.52,80.0,0.06,10392.0,7.9,14.0,20.0,612.0,174.0,16.0,37.0,99.0,3,950,352,587,38.22222222222222,11.61111111111111,1.5555555555555556,2.2777777777777777,5.888888888888889,0.1666666666666666,0.37,0.62
SF,2015,REG,5190,514.0,322.0,192.0,3646.0,3902.0,3646.0,1923.0,390,1544.0,154.0,83.0,7.0,16.0,12.0,19.0,971,379,581,234.0,12.0,0.39,0.6,5.35,7.591,4.002,6.59,0.626,0.023,0.031,7.09,0.031,7.09,7.59,11.32,0.018,3.96,39.0,0.03,8836.0,7.21,9.0,12.0,715.0,175.0,103.0,28.0,75.0,1,1085,478,579,44.6875,10.9375,6.4375,1.75,4.6875,0.0625,0.44,0.53
TB,2015,REG,6204,520.0,312.0,208.0,4042.0,5340.0,4047.0,1481.0,455,2162.0,201.0,99.0,12.0,22.0,15.0,20.0,1020,444,563,327.0,18.0,0.44,0.55,6.08,10.269,0.94,0.947,0.6,0.029,0.042,7.77,0.042,7.78,10.27,12.97,0.026,4.75,56.0,0.04,10251.0,7.97,11.0,29.0,651.0,230.0,115.0,38.0,82.0,3,1046,447,578,40.6875,14.375,7.1875,2.375,5.125,0.1875,0.43,0.55
TEN,2015,REG,5378,534.0,342.0,192.0,3893.0,4858.0,3893.0,1619.0,372,1485.0,195.0,66.0,11.0,25.0,17.0,26.0,980,367,604,298.0,30.0,0.37,0.62,5.49,9.097,1.016,1.019,0.64,0.032,0.047,7.29,0.047,7.29,9.1,11.38,0.03,3.99,61.0,0.05,9271.0,7.43,11.0,15.0,642.0,149.0,10.0,39.0,66.0,2,1004,440,542,40.125,9.3125,0.625,2.4375,4.125,0.125,0.44,0.54
WAS,2015,POST,413,46.0,29.0,17.0,329.0,381.0,329.0,155.0,18,84.0,14.0,5.0,1.0,1.0,0.0,3.0,70,17,52,16.0,0.0,0.24,0.74,5.9,8.283,1.536,1.643,0.63,0.0,0.022,7.15,0.022,7.15,8.28,11.34,0.056,4.67,3.0,0.03,742.0,7.98,0.0,1.0,35.0,16.0,7.0,1.0,2.0,0,70,31,38,36.52941176470589,14.294117647058824,4.941176470588236,2.294117647058824,4.764705882352941,0.1176470588235294,0.44,0.54
WAS,2015,REG,5860,544.0,386.0,158.0,4294.0,4459.0,4294.0,1956.0,429,1566.0,208.0,81.0,12.0,30.0,11.0,26.0,1014,415,585,376.0,12.0,0.41,0.58,5.78,8.197,17.98,19.429,0.71,0.02,0.055,7.89,0.055,7.89,8.2,11.12,0.028,3.65,72.0,0.05,10154.0,7.47,11.0,36.0,586.0,227.0,77.0,38.0,79.0,2,1012,402,605,36.52941176470589,14.294117647058824,4.941176470588236,2.294117647058824,4.764705882352941,0.1176470588235294,0.4,0.6
ARI,2016,REG,6157,629.0,383.0,246.0,4425.0,6204.0,4425.0,1747.0,399,1732.0,229.0,97.0,20.0,28.0,17.0,29.0,1090,392,688,399.0,18.0,0.36,0.63,5.65,9.863,1.276,1.072,0.609,0.027,0.045,7.03,0.045,7.03,9.86,11.55,0.05,4.34,76.0,0.05,10582.0,7.5,14.0,28.0,720.0,114.0,31.0,48.0,99.0,3,1020,413,596,45.0,7.125,1.9375,3.0,6.1875,0.1875,0.4,0.58
ATL,2016,POST,1318,98.0,70.0,28.0,1014.0,938.0,1014.0,452.0,77,304.0,54.0,16.0,4.0,9.0,0.0,5.0,183,74,105,100.0,0.0,0.4,0.57,7.2,9.571,1.02,1.324,0.714,0.0,0.092,10.35,0.092,10.35,9.57,14.49,0.052,3.95,22.0,0.09,2332.0,9.52,4.0,2.0,133.0,28.0,12.0,10.0,24.0,1,214,66,148,40.89473684210526,10.68421052631579,2.894736842105264,2.3157894736842106,5.315789473684211,0.3157894736842105,0.31,0.69
ATL,2016,REG,6888,530.0,374.0,156.0,4960.0,4637.0,4960.0,2267.0,423,1928.0,239.0,108.0,20.0,38.0,7.0,9.0,1001,410,578,512.0,12.0,0.41,0.58,6.88,8.749,5.04,7.162,0.706,0.013,0.072,9.36,0.072,9.36,8.75,13.26,0.047,4.56,96.0,0.07,11848.0,8.93,12.0,20.0,644.0,175.0,43.0,34.0,77.0,5,1068,362,691,40.89473684210526,10.68421052631579,2.894736842105264,2.3157894736842106,5.315789473684211,0.3157894736842105,0.34,0.65
BAL,2016,REG,5806,663.0,439.0,224.0,4343.0,5042.0,4343.0,2090.0,367,1463.0,205.0,79.0,11.0,20.0,16.0,16.0,1083,355,709,335.0,0.0,0.33,0.65,5.36,7.605,3.272,5.262,0.662,0.024,0.03,6.55,0.03,6.55,7.6,9.89,0.03,3.99,51.0,0.03,10149.0,6.91,18.0,27.0,622.0,167.0,30.0,31.0,80.0,1,996,374,607,38.875,10.4375,1.875,1.9375,5.0,0.0625,0.38,0.61
